Date,Total cases,Deaths
7/29/2020,895,
7/30/2020,900,
7/31/2020,900,
8/2/2020,910,
8/3/2020,912,
8/4/2020,913,
8/5/2020,913,
8/6/2020,913,
8/7/2020,913,
8/8/2020,913,
8/9/2020,913,
8/10/2020,924,
8/11/2020,926,
8/12/2020,926,
8/13/2020,935,
8/14/2020,935,
8/15/2020,935,
8/16/2020,953,
8/17/2020,957,
8/18/2020,961,
8/19/2020,964,
8/20/2020,964,
8/21/2020,964,
8/22/2020,964,
8/23/2020,994,
8/24/2020,1001,
8/25/2020,1009,
8/26/2020,1012,
8/27/2020,1014,
8/28/2020,1016,
8/29/2020,1018,
8/30/2020,1021,
8/31/2020,1021,
9/1/2020,1023,
9/2/2020,1023,
9/3/2020,1026,
9/4/2020,1031,
9/5/2020,1035,
9/6/2020,1041,
9/7/2020,1051,
9/8/2020,1058,
9/9/2020,1060,
9/10/2020,1065,
9/11/2020,1065,
9/12/2020,1078,
9/13/2020,1084,
9/14/2020,1087,
9/15/2020,1093,
9/16/2020,1099,
9/17/2020,1104,
9/18/2020,1104,
9/19/2020,1104,
9/20/2020,1116,
9/21/2020,1126,
9/22/2020,1131,
9/23/2020,1140,
9/24/2020,1151,
9/25/2020,1151,
9/26/2020,1151,
9/27/2020,1164,
9/28/2020,1187,
9/29/2020,1208,
9/30/2020,1208,
10/1/2020,1242,
10/2/2020,1257,
10/3/2020,1291,
10/4/2020,1353,
10/5/2020,1365,40
10/6/2020,1381,40
10/7/2020,1429,40
10/8/2020,1456,40
10/9/2020,1487,40
10/10/2020,1531,40
10/11/2020,1540,40
10/12/2020,1573,40
10/13/2020,1600,40
10/14/2020,1628,40
10/15/2020,1669,40
10/16/2020,1697,40
10/17/2020,1726,40
10/18/2020,1752,40
10/19/2020,1786,40
10/20/2020,1804,40
10/21/2020,1856,40
10/22/2020,1872,40
10/23/2020,1904,40
10/24/2020,1942,40
